1,'01-01-1980 00:00:00',6,'de','38546296',1,'A5',2,,,,,,,,,,,,,,,,,,,,,,'L6','L7','L6','L7','L2','L4','L6','L4','L6','LUF4','DEM13',80437,'DEM37'
2,,,'de','162215544',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,'01-01-1980 00:00:00',6,'de','2109968150',1,'A5',2,,,,,,,,,,,,,,,,,,,,,,'L4','L4','L5','L2','L4','L6','L2','L4','L6','LUF4','DEM14',33840,'DEM32'
4,'01-01-1980 00:00:00',6,'de','16287320',1,'A2',2,,,,,,,,,,,,,,,,,,,,,,'L4','L2','L5','L3','L5','L5','L4','L5','L4','LUF5','DEM12',33840,'DEM31'
5,,3,'de','1330777559',1,'A3',2,,,,,,,,,,,,,,,,,,,,,,'L4','L4','L4','L4',,,,,,,,,
6,,,'de','1802337836',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,'de','1238501288',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2,'de','250705636',1,'A2',1,2,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,
9,'01-01-1980 00:00:00',6,'de','1303618931',1,'A4',2,,,,,,,,,,,,,,,,,,,,,,'L5','L5','L6','L2','L1','L5','L4','L1','L5','LUF5','DEM13',33840,'DEM31'
10,,3,'de','2019678723',2,'A2',1,2,,,,,,,,,,,,0,1,0,0,0,1,0,0,1,'L6','L4','L6','L7',,,,,,,,,
11,,2,'de','856671358',1,'A6',2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,2,'de','2104101786',1,'A7',1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
13,,1,'de','20139159',1,'A6',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,'01-01-1980 00:00:00',6,'de','1316207226',1,'A1',2,,,,,,,,,,,,,,,,,,,,,,'L6','L6','L7','L5','L1','L1','L1','L1','L7','LUF4','DEM13',33840,'DEM32'
15,'01-01-1980 00:00:00',6,'de','166277162',1,'A1',2,,,,,,,,,,,,,,,,,,,,,,'L7','L6','L7','L7','L4','L4','L4','L5','L5','LUF4','DEM13',52971,'DEM37'
16,,2,'de','263557246',1,'A5',2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,'01-01-1980 00:00:00',6,'de','424954869',1,'A6',2,,,,,,,,,,,,,,,,,,,,,,'L5','L6','L5','L3','L1','L4','L6','L3','L5','LUF4','DEM12',47169,'DEM31'
18,'01-01-1980 00:00:00',6,'de','228750322',2,'A7',2,,,,,,,,,,,,,,,,,,,,,,'L6','L6','L7','L6','L6','L5','L7','L6','L4','LUF5','DEM13',47169,'DEM37'
